iter	Passed	Remaining
400	19509	53467
401	19561	53430
402	19603	53362
403	19660	53335
404	19708	53287
405	19751	53221
406	19795	53161
407	19842	53109
408	19888	53053
409	19928	52981
410	19971	52918
411	20017	52862
412	20062	52802
413	20107	52745
414	20156	52699
415	20201	52639
416	20249	52590
417	20287	52514
418	20331	52453
419	20374	52391
420	20418	52331
421	20467	52283
422	20490	52171
423	20538	52121
424	20589	52078
425	20632	52018
426	20677	51959
427	20719	51895
428	20765	51840
429	20809	51782
430	20853	51722
431	20899	51667
432	20948	51620
433	20999	51578
434	21047	51530
435	21096	51483
436	21143	51432
437	21192	51385
438	21241	51338
439	21289	51289
440	21336	51236
441	21392	51206
442	21455	51193
443	21525	51195
444	21576	51154
445	21624	51104
446	21665	51037
447	21709	50979
448	21751	50914
449	21807	50883
450	21849	50819
451	21895	50767
452	21946	50723
453	21975	50630
454	22016	50564
455	22058	50502
456	22101	50440
457	22146	50386
458	22193	50333
459	22219	50236
460	22264	50178
461	22320	50148
462	22367	50097
463	22417	50052
464	22467	50009
465	22510	49947
466	22557	49897
467	22602	49840
468	22650	49792
469	22690	49725
470	22733	49665
471	22786	49627
472	22830	49569
473	22876	49516
474	22921	49461
475	22965	49403
476	23006	49341
477	23051	49285
478	23092	49223
479	23137	49167
480	23184	49116
481	23232	49068
482	23275	49007
483	23314	48941
484	23361	48890
485	23400	48823
486	23448	48775
487	23489	48712
488	23534	48658
489	23579	48601
490	23633	48566
491	23680	48517
492	23723	48457
493	23768	48404
494	23808	48337
495	23849	48276
496	23897	48226
497	23941	48171
498	23983	48111
499	24024	48049
500	24067	47990
501	24113	47939
502	24157	47882
503	24199	47822
504	24247	47775
505	24292	47719
506	24340	47672
507	24387	47621
508	24435	47574
509	24481	47523
510	24524	47465
511	24570	47413
512	24614	47357
513	24657	47301
514	24709	47260
515	24751	47199
516	24797	47147
517	24837	47086
518	24879	47026
519	24943	47009
520	24992	46962
521	25041	46916
522	25081	46854
523	25131	46809
524	25171	46747
525	25216	46694
526	25258	46634
527	25301	46578
528	25343	46519
529	25390	46470
530	25443	46430
531	25493	46385
532	25535	46327
533	25581	46276
534	25626	46223
535	25671	46169
536	25716	46117
537	25755	46053
538	25803	46005
539	25843	45943
540	25889	45892
541	25935	45841
542	25984	45795
543	26026	45738
544	26055	45656
545	26108	45617
546	26159	45576
547	26212	45536
548	26256	45483
549	26299	45425
550	26348	45380
551	26400	45339
552	26450	45295
553	26496	45244
554	26540	45190
555	26588	45143
556	26632	45088
557	26674	45031
558	26717	44975
559	26761	44920
560	26815	44884
561	26868	44844
562	26911	44788
563	26954	44733
564	27008	44696
565	27059	44652
566	27103	44598
567	27147	44544
568	27186	44482
569	27233	44433
570	27279	44382
571	27321	44325
572	27363	44268
573	27411	44221
574	27460	44175
575	27501	44117
576	27547	44066
577	27597	44022
578	27648	43980
579	27695	43931
580	27745	43887
581	27793	43839
582	27845	43798
583	27894	43753
584	27939	43700
585	27993	43662
586	28037	43608
587	28080	43553
588	28129	43507
589	28171	43451
590	28221	43406
591	28267	43356
592	28308	43298
593	28352	43244
594	28395	43190
595	28438	43135
596	28478	43075
597	28517	43014
598	28564	42966
599	28629	42944
600	28678	42897
601	28724	42847
602	28765	42790
603	28816	42747
604	28858	42691
605	28901	42637
606	28948	42587
607	28995	42540
608	29046	42496
609	29088	42441
610	29135	42392
611	29178	42336
612	29218	42278
613	29258	42220
614	29305	42170
615	29355	42127
616	29399	42073
617	29451	42032
618	29502	41989
619	29544	41933
620	29585	41876
621	29626	41819
622	29672	41769
623	29716	41717
624	29758	41662
625	29805	41613
626	29853	41565
627	29903	41521
628	29946	41468
629	29987	41411
630	30031	41358
631	30073	41303
632	30115	41248
633	30157	41193
634	30204	41144
635	30253	41099
636	30299	41049
637	30352	41008
638	30398	40959
639	30449	40916
640	30495	40866
641	30543	40819
642	30591	40772
643	30642	40729
