iter	RMSE
0	0.1387745343
1	0.1357189912
2	0.1327670028
3	0.1299370442
4	0.1272228678
5	0.1246130551
6	0.1220972604
7	0.1196812956
8	0.1173707867
9	0.115155027
10	0.1130149087
11	0.11097763
12	0.1090130382
13	0.1071382231
14	0.1053246618
15	0.1036002595
16	0.101950519
17	0.1003668563
18	0.09886580581
19	0.09742637061
20	0.09605810266
21	0.09443695836
22	0.09273881587
23	0.09112066168
24	0.08961337585
25	0.08811448981
26	0.08667930207
27	0.08532558375
28	0.08401594222
29	0.08274642821
30	0.08155791452
31	0.08043138667
32	0.07931268449
33	0.07825734589
34	0.07724476628
35	0.07595665624
36	0.07477101257
37	0.07361319199
38	0.07251163494
39	0.07147399101
40	0.07048558081
41	0.06948577917
42	0.06854844913
43	0.06766468429
44	0.0668591646
45	0.06605257004
46	0.06529347985
47	0.06457459575
48	0.0638726517
49	0.06315063456
50	0.06247604606
51	0.06181709202
52	0.06123012304
53	0.06063176317
54	0.06006959803
55	0.05953737175
56	0.05904260782
57	0.05853269074
58	0.05808599778
59	0.05765347896
60	0.05722381429
61	0.05681303639
62	0.05642399756
63	0.05605263681
64	0.05569320478
65	0.05536426938
66	0.05502513994
67	0.05471637286
68	0.05440980293
69	0.0541382572
70	0.05385948029
71	0.05361082629
72	0.05335699293
73	0.05313918322
74	0.05291766907
75	0.05270578457
76	0.05251804136
77	0.05230780447
78	0.05212528921
79	0.05192597389
80	0.05175098127
81	0.05158246918
82	0.05141925016
83	0.05127711641
84	0.05107698816
85	0.05088625036
86	0.05070090501
87	0.05050624948
88	0.05032356617
89	0.05017686322
90	0.05004891199
91	0.04995047649
92	0.04980464767
93	0.04965826189
94	0.04954476862
95	0.04942667417
96	0.04935246801
97	0.04924193568
98	0.04916715096
99	0.04905171506
100	0.04896754356
101	0.04889724559
102	0.0487904172
103	0.04871306319
104	0.04864620466
105	0.04857207852
106	0.04848127828
107	0.04841664633
108	0.04833631585
109	0.04828029817
110	0.04819839796
111	0.0481084124
112	0.04804685217
113	0.04799068436
114	0.04792542252
115	0.0478669647
116	0.0478013964
117	0.04774892064
118	0.04768844457
119	0.04763900895
120	0.04759405949
121	0.04753078955
122	0.04749144711
123	0.04742938648
124	0.04737676103
125	0.04734171589
126	0.04729199631
127	0.04724273887
128	0.04717439368
129	0.0471263408
130	0.04707412717
131	0.04701925262
132	0.04697822846
133	0.04694852787
134	0.04691659895
135	0.04688069405
136	0.04684745017
137	0.04675949824
138	0.04671661018
139	0.04668425794
140	0.04664977933
141	0.04661661763
142	0.04658457825
